Date,GS3,GS1,GS10,GS5,GS3M,GS6M
01/06/1987,7.820000172,6.800000191,8.399999619,8.020000458,5.849999905,6.28000021
01/07/1987,7.739999771,6.679999828,8.449999809,8.010000229,5.880000114,6.050000191
01/08/1987,8.029999733,7.03000021,8.760000229,8.319999695,6.230000019,6.460000038
01/09/1987,8.670000076,7.670000076,9.420000076,8.93999958,6.619999886,6.989999771
01/10/1987,8.75,7.590000153,9.520000458,9.079999924,6.349999905,7.039999962
01/11/1987,7.989999771,6.960000038,8.859999657,8.350000381,5.889999866,6.5
01/12/1987,8.130000114,7.170000076,8.989999771,8.449999809,5.960000038,6.679999828
01/01/1988,7.869999886,6.989999771,8.670000076,8.180000305,6,6.559999943
01/02/1988,7.380000114,6.639999866,8.210000038,7.710000038,5.840000153,6.210000038
01/03/1988,7.5,6.710000038,8.369999886,7.829999924,5.869999886,6.179999828
01/04/1988,7.829999924,7.010000229,8.720000267,8.18999958,6.079999924,6.5
01/05/1988,8.239999771,7.400000095,9.090000153,8.579999924,6.449999809,6.889999866
01/06/1988,8.220000267,7.489999771,8.920000076,8.489999771,6.659999847,7.039999962
01/07/1988,8.43999958,7.75,9.06000042,8.659999847,6.949999809,7.349999905
01/08/1988,8.770000458,8.170000076,9.260000229,8.93999958,7.300000191,7.789999962
01/09/1988,8.569999695,8.090000153,8.979999542,8.68999958,7.480000019,7.820000172
01/10/1988,8.430000305,8.109999657,8.800000191,8.510000229,7.599999905,7.900000095
01/11/1988,8.720000267,8.479999542,8.960000038,8.789999962,8.029999733,8.300000191
01/12/1988,9.109999657,8.989999771,9.109999657,9.090000153,8.350000381,8.699999809
01/01/1989,9.199999809,9.050000191,9.090000153,9.149999619,8.56000042,8.850000381
01/02/1989,9.319999695,9.25,9.170000076,9.270000458,8.840000153,9.050000191
01/03/1989,9.609999657,9.569999695,9.359999657,9.510000229,9.140000343,9.390000343
01/04/1989,9.399999619,9.359999657,9.180000305,9.300000191,8.960000038,9.170000076
01/05/1989,8.979999542,8.979999542,8.859999657,8.909999847,8.739999771,8.909999847
01/06/1989,8.369999886,8.43999958,8.279999733,8.289999962,8.430000305,8.380000114
01/07/1989,7.829999924,7.889999866,8.020000458,7.829999924,8.149999619,8.010000229
01/08/1989,8.130000114,8.180000305,8.109999657,8.090000153,8.170000076,8.170000076
01/09/1989,8.260000229,8.220000267,8.18999958,8.170000076,8.010000229,8.159999847
01/10/1989,8.020000458,7.989999771,8.010000229,7.96999979,7.900000095,8.029999733
01/11/1989,7.800000191,7.769999981,7.869999886,7.809999943,7.940000057,7.889999866
01/12/1989,7.769999981,7.71999979,7.840000153,7.75,7.880000114,7.809999943
01/01/1990,8.130000114,7.920000076,8.210000038,8.119999886,7.900000095,7.960000038
01/02/1990,8.390000343,8.109999657,8.470000267,8.420000076,8,8.119999886
01/03/1990,8.630000114,8.350000381,8.590000153,8.600000381,8.170000076,8.279999733
01/04/1990,8.779999733,8.399999619,8.789999962,8.770000458,8.039999962,8.270000458
